Run,Phase,Block,Trial,Object,Pos,Con,ObjectCategory,Onset,Duration,Response,RT,isCorrect
2,test1,3,5,8,5,2,lifeless,,,NaN,NaN,NaN
2,test1,3,6,9,2,4,human_body,,,NaN,NaN,NaN
2,test1,3,7,12,1,1,plants,,,NaN,NaN,NaN
2,test1,3,8,6,2,1,lifeless,,,NaN,NaN,NaN
2,test1,3,9,1,4,2,animal_face,,,NaN,NaN,NaN
2,test1,3,10,5,6,2,human_face,,,NaN,NaN,NaN
2,test1,3,11,4,3,3,animal_face,,,NaN,NaN,NaN
2,test1,3,12,11,3,4,animal_body,,,NaN,NaN,NaN
2,test2,3,1,2,6,3,animal_body,,,NaN,NaN,NaN
2,test2,3,2,10,4,1,human_face,,,NaN,NaN,NaN
2,test2,3,3,7,1,3,human_body,,,NaN,NaN,NaN
2,test2,3,4,3,5,4,plants,,,NaN,NaN,NaN
2,test2,3,5,8,5,2,lifeless,,,NaN,NaN,NaN
2,test2,3,6,9,2,4,human_body,,,NaN,NaN,NaN
2,test2,3,7,12,1,1,plants,,,NaN,NaN,NaN
2,test2,3,8,6,2,1,lifeless,,,NaN,NaN,NaN
2,test2,3,9,1,4,2,animal_face,,,NaN,NaN,NaN
2,test2,3,10,5,6,2,human_face,,,NaN,NaN,NaN
2,test2,3,11,4,3,3,animal_face,,,NaN,NaN,NaN
2,test2,3,12,11,3,4,animal_body,,,NaN,NaN,NaN
2,learning,4,1,9,5,1,human_body,,,0,0,0
2,learning,4,2,3,2,3,plants,,,0,0,0
2,learning,4,3,10,5,3,human_face,,,0,0,0
2,learning,4,4,8,4,4,lifeless,,,0,0,0
2,learning,4,5,2,1,2,animal_body,,,0,0,0
2,learning,4,6,7,4,1,human_body,,,0,0,0
2,learning,4,7,4,2,4,animal_face,,,0,0,0
2,learning,4,8,11,6,2,animal_body,,,0,0,0
2,learning,4,9,6,3,2,lifeless,,,0,0,0
2,learning,4,10,1,1,1,animal_face,,,0,0,0
2,learning,4,11,12,6,4,plants,,,0,0,0
2,learning,4,12,5,3,3,human_face,,,0,0,0
2,retrieval,4,1,4,2,4,animal_face,,,0,0,0
2,retrieval,4,2,9,5,1,human_body,,,0,0,0
2,retrieval,4,3,5,3,3,human_face,,,0,0,0
2,retrieval,4,4,12,6,4,plants,,,0,0,0
2,retrieval,4,5,2,1,2,animal_body,,,0,0,0
2,retrieval,4,6,10,5,3,human_face,,,0,0,0
2,retrieval,4,7,7,4,1,human_body,,,0,0,0
2,retrieval,4,8,3,2,3,plants,,,0,0,0
2,retrieval,4,9,11,6,2,animal_body,,,0,0,0
2,retrieval,4,10,1,1,1,animal_face,,,0,0,0
2,retrieval,4,11,6,3,2,lifeless,,,0,0,0
2,retrieval,4,12,8,4,4,lifeless,,,0,0,0
2,test1,4,1,4,2,4,animal_face,,,NaN,NaN,NaN
2,test1,4,2,9,5,1,human_body,,,NaN,NaN,NaN
2,test1,4,3,5,3,3,human_face,,,NaN,NaN,NaN
2,test1,4,4,12,6,4,plants,,,NaN,NaN,NaN
2,test1,4,5,2,1,2,animal_body,,,NaN,NaN,NaN
2,test1,4,6,10,5,3,human_face,,,NaN,NaN,NaN
2,test1,4,7,7,4,1,human_body,,,NaN,NaN,NaN
2,test1,4,8,3,2,3,plants,,,NaN,NaN,NaN
2,test1,4,9,11,6,2,animal_body,,,NaN,NaN,NaN
2,test1,4,10,1,1,1,animal_face,,,NaN,NaN,NaN
2,test1,4,11,6,3,2,lifeless,,,NaN,NaN,NaN
2,test1,4,12,8,4,4,lifeless,,,NaN,NaN,NaN
2,test2,4,1,4,2,4,animal_face,,,NaN,NaN,NaN
2,test2,4,2,9,5,1,human_body,,,NaN,NaN,NaN
2,test2,4,3,5,3,3,human_face,,,NaN,NaN,NaN
2,test2,4,4,12,6,4,plants,,,NaN,NaN,NaN
2,test2,4,5,2,1,2,animal_body,,,NaN,NaN,NaN
2,test2,4,6,10,5,3,human_face,,,NaN,NaN,NaN
2,test2,4,7,7,4,1,human_body,,,NaN,NaN,NaN
2,test2,4,8,3,2,3,plants,,,NaN,NaN,NaN
2,test2,4,9,11,6,2,animal_body,,,NaN,NaN,NaN
2,test2,4,10,1,1,1,animal_face,,,NaN,NaN,NaN
2,test2,4,11,6,3,2,lifeless,,,NaN,NaN,NaN
2,test2,4,12,8,4,4,lifeless,,,NaN,NaN,NaN
