run_id,block_id,stim_type,trial_id,stim,cond,cresp
1,10,word,6,14,diff,diff
1,10,word,7,15,diff,diff
1,10,word,8,14,same,same
1,10,word,9,15,same,same
1,10,word,10,16,diff,diff
1,11,word,1,18,filler,none
1,11,word,2,16,filler,none
1,11,word,3,17,diff,diff
1,11,word,4,18,lure,diff
1,11,word,5,17,same,same
1,11,word,6,11,diff,diff
1,11,word,7,19,diff,diff
1,11,word,8,20,diff,diff
1,11,word,9,19,same,same
1,11,word,10,20,same,same
1,12,face,1,41,filler,none
1,12,face,2,42,filler,none
1,12,face,3,42,lure,diff
1,12,face,4,41,lure,diff
1,12,face,5,43,diff,diff
1,12,face,6,44,diff,diff
1,12,face,7,43,same,same
1,12,face,8,45,diff,diff
1,12,face,9,44,lure,diff
1,12,face,10,45,same,same
2,1,place,1,11,filler,none
2,1,place,2,12,filler,none
2,1,place,3,13,diff,diff
2,1,place,4,13,lure,diff
2,1,place,5,12,lure,diff
2,1,place,6,14,diff,diff
2,1,place,7,15,diff,diff
2,1,place,8,16,diff,diff
2,1,place,9,15,same,same
2,1,place,10,16,same,same
2,2,place,1,20,filler,none
2,2,place,2,18,filler,none
2,2,place,3,20,same,same
2,2,place,4,18,same,same
2,2,place,5,14,diff,diff
2,2,place,6,17,diff,diff
2,2,place,7,11,diff,diff
2,2,place,8,19,diff,diff
2,2,place,9,17,lure,diff
2,2,place,10,19,same,same
2,3,object,1,21,filler,none
2,3,object,2,22,filler,none
2,3,object,3,23,diff,diff
2,3,object,4,21,lure,diff
2,3,object,5,23,same,same
2,3,object,6,24,diff,diff
2,3,object,7,25,diff,diff
2,3,object,8,24,same,same
2,3,object,9,25,same,same
2,3,object,10,26,diff,diff
2,4,object,1,26,filler,none
2,4,object,2,27,filler,none
2,4,object,3,30,diff,diff
2,4,object,4,27,same,same
2,4,object,5,29,diff,diff
2,4,object,6,30,lure,diff
2,4,object,7,28,diff,diff
2,4,object,8,29,lure,diff
2,4,object,9,28,same,same
2,4,object,10,22,diff,diff
2,5,face,1,31,filler,none
2,5,face,2,32,filler,none
2,5,face,3,31,same,same
2,5,face,4,32,same,same
2,5,face,5,33,diff,diff
2,5,face,6,35,diff,diff
2,5,face,7,33,same,same
2,5,face,8,34,diff,diff
2,5,face,9,35,lure,diff
2,5,face,10,36,diff,diff
2,6,face,1,37,filler,none
2,6,face,2,38,filler,none
2,6,face,3,37,same,same
2,6,face,4,34,diff,diff
2,6,face,5,38,lure,diff
2,6,face,6,40,diff,diff
2,6,face,7,39,diff,diff
2,6,face,8,40,same,same
2,6,face,9,39,same,same
2,6,face,10,36,diff,diff
2,7,word,1,21,filler,none
2,7,word,2,22,filler,none
2,7,word,3,23,diff,diff
2,7,word,4,22,same,same
2,7,word,5,24,diff,diff
2,7,word,6,23,lure,diff
2,7,word,7,24,same,same
2,7,word,8,26,diff,diff
2,7,word,9,25,diff,diff
2,7,word,10,26,same,same
2,8,word,1,27,filler,none
2,8,word,2,21,filler,none
2,8,word,3,27,same,same
2,8,word,4,29,diff,diff
2,8,word,5,25,diff,diff
2,8,word,6,28,diff,diff
2,8,word,7,29,lure,diff
2,8,word,8,30,diff,diff
2,8,word,9,28,lure,diff
2,8,word,10,30,same,same
2,9,place,1,35,filler,none
2,9,place,2,36,filler,none
2,9,place,3,32,diff,diff
2,9,place,4,36,same,same
2,9,place,5,31,diff,diff
2,9,place,6,31,lure,diff
2,9,place,7,34,diff,diff
2,9,place,8,33,diff,diff
2,9,place,9,34,same,same
2,9,place,10,33,same,same
2,10,place,1,32,filler,none
2,10,place,2,37,filler,none
2,10,place,3,38,diff,diff
2,10,place,4,37,same,same
2,10,place,5,39,diff,diff
2,10,place,6,38,lure,diff
2,10,place,7,39,same,same
2,10,place,8,40,diff,diff
2,10,place,9,35,diff,diff
2,10,place,10,40,same,same
2,11,face,1,21,filler,none
2,11,face,2,22,filler,none
2,11,face,3,23,diff,diff
2,11,face,4,21,lure,diff
2,11,face,5,23,same,same
2,11,face,6,24,diff,diff
2,11,face,7,25,diff,diff
2,11,face,8,24,same,same
2,11,face,9,25,same,same
2,11,face,10,26,diff,diff
2,12,face,1,26,filler,none
2,12,face,2,27,filler,none
2,12,face,3,30,diff,diff
2,12,face,4,27,same,same
2,12,face,5,29,diff,diff
2,12,face,6,30,lure,diff
2,12,face,7,28,diff,diff
2,12,face,8,29,lure,diff
2,12,face,9,28,same,same
2,12,face,10,22,diff,diff
3,1,object,1,1,filler,none
3,1,object,2,2,filler,none
3,1,object,3,1,same,same
3,1,object,4,3,diff,diff
3,1,object,5,3,lure,diff
3,1,object,6,4,diff,diff
3,1,object,7,5,diff,diff
3,1,object,8,4,same,same
3,1,object,9,6,diff,diff
3,1,object,10,5,lure,diff
3,2,object,1,2,filler,none
3,2,object,2,6,filler,none
3,2,object,3,7,diff,diff
3,2,object,4,8,diff,diff
3,2,object,5,7,same,same
3,2,object,6,8,same,same
3,2,object,7,9,diff,diff
3,2,object,8,9,lure,diff
3,2,object,9,10,diff,diff
3,2,object,10,10,lure,diff
3,3,word,1,31,filler,none
3,3,word,2,32,filler,none
3,3,word,3,31,same,same
3,3,word,4,32,same,same
3,3,word,5,33,diff,diff
3,3,word,6,35,diff,diff
3,3,word,7,33,same,same
3,3,word,8,34,diff,diff
